model_a,model_b,winner,category
gemini-2.5-pro,claude-3-7-sonnet-20250219-thinking-32k,model_a,other
claude-sonnet-4-20250514-thinking-32k,gemini-2.5-pro,model_a,other
claude-3-5-sonnet-20241022,mistral-medium-2505,model_b,other
grok-3-preview-02-24,qwq-32b,model_a,other
qwen3-235b-a22b,claude-sonnet-4-20250514,model_a,other
claude-3-5-sonnet-20241022,kimi-k2-0711-preview,model_a,coding
gemini-2.5-flash-lite-preview-06-17-thinking,claude-opus-4-20250514-thinking-16k,model_b,other
chatgpt-4o-latest-20250326,grok-3-mini-beta,model_b,other
qwen3-30b-a3b,o3-mini,model_a,coding
o3-mini,mistral-medium-2505,model_a,other
claude-3-5-sonnet-20241022,grok-3-preview-02-24,model_b,other
mistral-medium-2505,claude-sonnet-4-20250514,model_a,other
gpt-4.1-mini-2025-04-14,grok-3-mini-high,model_a,coding
gemini-2.5-pro,claude-3-7-sonnet-20250219-thinking-32k,model_b,other
magistral-medium-2506,claude-opus-4-20250514,model_b,coding
gemini-2.5-flash-preview-04-17,qwen3-30b-a3b,model_b,other
gemini-2.5-pro,claude-3-7-sonnet-20250219-thinking-32k,model_a,other
mistral-small-2506,gemma-3n-e4b-it,model_b,other
claude-sonnet-4-20250514,qwen-max-2025-01-25,model_a,coding
qwen3-30b-a3b,gemma-3n-e4b-it,model_b,coding
mistral-medium-2505,claude-sonnet-4-20250514-thinking-32k,model_a,other
amazon-nova-experimental-chat-05-14,claude-opus-4-20250514-thinking-16k,model_b,other
command-a-03-2025,gemini-2.5-flash,model_b,other
gemini-2.5-pro,gemini-2.5-flash,model_b,other
qwen3-30b-a3b,claude-3-7-sonnet-20250219,model_a,other
qwen3-235b-a22b-no-thinking,qwen3-30b-a3b,model_a,other
gpt-4.1-2025-04-14,gemma-3n-e4b-it,model_b,other
claude-sonnet-4-20250514,gemma-3-27b-it,model_a,coding
qwen3-235b-a22b-no-thinking,deepseek-v3-0324,model_b,other
gemma-3-27b-it,claude-opus-4-20250514-thinking-16k,model_b,other
claude-opus-4-20250514,llama-3.3-70b-instruct,model_b,other
gpt-4.1-mini-2025-04-14,minimax-m1,model_a,other
command-a-03-2025,gpt-4.1-2025-04-14,model_b,other
claude-sonnet-4-20250514,claude-3-7-sonnet-20250219-thinking-32k,model_a,coding
deepseek-r1-0528,grok-3-mini-beta,model_a,other
claude-opus-4-20250514,gemini-2.5-pro-preview-05-06,model_a,other
o3-mini,gemma-3n-e4b-it,model_a,other
llama-4-maverick-03-26-experimental,claude-opus-4-20250514-thinking-16k,model_b,coding
o3-mini,chatgpt-4o-latest-20250326,model_b,coding
grok-3-mini-beta,gpt-4.1-mini-2025-04-14,model_a,other
gemma-3-27b-it,qwq-32b,model_a,other
gemini-2.5-flash,mistral-medium-2505,model_a,coding
claude-3-5-sonnet-20241022,deepseek-r1-0528,model_b,other
llama-4-maverick-03-26-experimental,gemini-2.5-flash,model_a,other
deepseek-v3-0324,gemini-2.0-flash-001,model_b,coding
grok-3-preview-02-24,gemini-2.5-flash-preview-04-17,model_a,other
gemma-3-27b-it,claude-3-5-sonnet-20241022,model_b,other
gemma-3-27b-it,claude-3-7-sonnet-20250219,model_a,coding
grok-3-mini-beta,claude-3-7-sonnet-20250219,model_a,coding
qwen-max-2025-01-25,command-a-03-2025,model_a,coding
llama-4-maverick-03-26-experimental,gemma-3-27b-it,model_a,other
mistral-small-3.1-24b-instruct-2503,deepseek-r1-0528,model_b,coding
deepseek-r1-0528,qwen3-235b-a22b-no-thinking,model_a,coding
grok-3-mini-beta,kimi-k2-0711-preview,model_b,other
gemini-2.0-flash-001,claude-3-5-sonnet-20241022,model_a,other
command-a-03-2025,amazon.nova-pro-v1:0,model_b,other
gemini-2.5-flash,claude-3-7-sonnet-20250219,model_b,other
gpt-4.1-2025-04-14,hunyuan-turbos-20250416,model_a,coding
